# power_maxi = 0.03
# antistokes_power = 0.009
# window_length = 1.5
# polyorder = 1
# deriv_max = 3.0e7
# power_mini = 2.0e-5
# 
# [calibrations]
# bbg = [1824.8813838215074]
# b = [-1.195530106692199e-5]
# filename = ["I:\\Other computers\\Spectro2021\\Lab66_spectrometer_2021\\DataLab37\\2025\\04\\2025-04-09\\qdplot_logic\\20250409-1731-30_power_sweep_plot_3.dat"]
# a = [0.015061321344515566]
# abg = [8787.162747897504]
# configuration = [0]
# 
# [data]
# filename = ["I:\\Other computers\\Spectro2021\\Lab66_spectrometer_2021\\DataLab37\\2025\\04\\2025-04-09\\qdplot_logic\\20250409-1908-57_power_sweep_plot_4.dat"]
# configuration = [0]
# 
power,pfi1,derivative,smoothed
0.00040322547889244453,74982.89145696377,-1.7200457801292937e7,72800.4189156371
0.0004080762282947118,68930.06140484073,-1.6734307079932012e7,72732.63466035352
0.00041292697769823003,73327.23135271695,-1.6193726296709158e7,72605.6394449115
0.00041292697769823003,71527.23135271695,-1.6193726296709158e7,72605.6394449115
0.00041292697769823003,71477.23135271695,-1.6193726296709158e7,72605.6394449115
0.00041292697769823003,71877.23135271695,-1.6193726296709158e7,72605.6394449115
0.0004177777271029998,69074.40130059244,-1.5670954284699593e7,72545.64412397731
0.0004177777271029998,69874.40130059244,-1.5670954284699593e7,72545.64412397731
0.0004177777271029998,71774.40130059244,-1.5670954284699593e7,72545.64412397731
0.00042262847650902156,74021.5712484672,-1.5555774048291618e7,72473.8319880084
0.00042262847650902156,72421.5712484672,-1.5555774048291618e7,72473.8319880084
0.00042747922591629596,74718.74119634123,-1.5455468652325433e7,72388.04163252084
0.00042747922591629596,70968.74119634123,-1.5455468652325433e7,72388.04163252084
0.0004323299753248233,71965.91114421452,-1.521238011540015e7,72266.86342514284
0.0004323299753248233,68915.91114421452,-1.521238011540015e7,72266.86342514284
0.0004323299753248233,69715.91114421452,-1.521238011540015e7,72266.86342514284
0.0004323299753248233,73065.91114421452,-1.521238011540015e7,72266.86342514284
0.00043718072473460426,71163.08109208709,-1.5243003342734061e7,72191.75657648285
0.00043718072473460426,73813.08109208709,-1.5243003342734061e7,72191.75657648285
0.00044203147414563916,69410.25103995892,-1.5219216169603141e7,72147.51198386058
0.00044203147414563916,69710.25103995892,-1.5219216169603141e7,72147.51198386058
0.00044203147414563916,73960.25103995892,-1.5219216169603141e7,72147.51198386058
0.0004468822235579287,75407.42098783002,-1.4668548251064006e7,72034.5043822621
0.0004468822235579287,72457.42098783002,-1.4668548251064006e7,72034.5043822621
0.0004468822235579287,72657.42098783002,-1.4668548251064006e7,72034.5043822621
0.0004468822235579287,75207.42098783002,-1.4668548251064006e7,72034.5043822621
0.0004468822235579287,72607.42098783002,-1.4668548251064006e7,72034.5043822621
0.00045173297297147345,70004.5909357004,-1.4668548251064006e7,71963.3509304357
0.00045173297297147345,70754.5909357004,-1.4668548251064006e7,71963.3509304357
0.00045173297297147345,69804.5909357004,-1.4668548251064006e7,71963.3509304357
0.0004565837223862737,76251.76088357004,-1.4714249534746721e7,71902.78278555171
0.0004565837223862737,69601.76088357004,-1.4714249534746721e7,71902.78278555171
0.00046143447180233016,68048.93083143893,-1.4852741755962882e7,71811.4466619509
0.00046143447180233016,73498.93083143893,-1.4852741755962882e7,71811.4466619509
0.00046143447180233016,70748.93083143893,-1.4852741755962882e7,71811.4466619509
0.00046143447180233016,77648.93083143893,-1.4852741755962882e7,71811.4466619509
0.00046143447180233016,72298.93083143893,-1.4852741755962882e7,71811.4466619509
0.00046143447180233016,74448.93083143893,-1.4852741755962882e7,71811.4466619509
0.00046628522121964296,71946.1007793071,-1.4637215876926893e7,71748.81004906275
0.00046628522121964296,73046.1007793071,-1.4637215876926893e7,71748.81004906275
0.00046628522121964296,70796.1007793071,-1.4637215876926893e7,71748.81004906275
0.00047113597063821306,72143.27072717455,-1.4667033567168042e7,71738.56680243062
0.00047113597063821306,75893.27072717455,-1.4667033567168042e7,71738.56680243062
0.00047113597063821306,72693.27072717455,-1.4667033567168042e7,71738.56680243062
0.00047113597063821306,69893.27072717455,-1.4667033567168042e7,71738.56680243062
0.00047113597063821306,72843.27072717455,-1.4667033567168042e7,71738.56680243062
0.00047598672005804104,71940.44067504125,-1.4894762857588159e7,71645.77593472357
0.00047598672005804104,70890.44067504125,-1.4894762857588159e7,71645.77593472357
0.00047598672005804104,74640.44067504125,-1.4894762857588159e7,71645.77593472357
0.00047598672005804104,73490.44067504125,-1.4894762857588159e7,71645.77593472357
